biomarker_1,biomarker_2,sample_size,spearman_r,ci_lower,ci_upper,raw_p_value,fdr_p_value,fdr_significant
il6_pg_ml,crp_mg_l,245,0.78,0.722,0.828,2.5443739751768895e-51,5.343185347871469e-50,True
crp_mg_l,tnf_alpha_pg_ml,246,-0.167,-0.287,-0.048,0.008884392318737144,0.09328611934674001,False
il6_pg_ml,tnf_alpha_pg_ml,246,-0.135,-0.261,-0.017,0.03381972626472621,0.23673808385308345,False
pdl1_tps_percent,ctdna_fraction_percent,247,-0.106,-0.222,0.015,0.09715316686636885,0.5100541260484365,False
tnf_alpha_pg_ml,ifn_gamma_pg_ml,247,-0.083,-0.207,0.043,0.19510857088472155,0.8194559977158306,False
vegf_pg_ml,pdl1_tps_percent,247,0.063,-0.063,0.186,0.3207437777736252,0.86315788643448,False
tnf_alpha_pg_ml,ctdna_fraction_percent,247,-0.051,-0.185,0.073,0.42345205756539384,0.86315788643448,False
crp_mg_l,vegf_pg_ml,246,-0.05,-0.175,0.085,0.4346184148473478,0.86315788643448,False
il6_pg_ml,ifn_gamma_pg_ml,246,0.049,-0.072,0.177,0.4441993731762605,0.86315788643448,False
ifn_gamma_pg_ml,pdl1_tps_percent,247,-0.048,-0.175,0.076,0.4526945111952795,0.86315788643448,False
crp_mg_l,ctdna_fraction_percent,246,0.047,-0.083,0.179,0.4628073080416213,0.86315788643448,False
tnf_alpha_pg_ml,pdl1_tps_percent,247,0.043,-0.085,0.171,0.505530263704059,0.86315788643448,False
crp_mg_l,pdl1_tps_percent,246,-0.037,-0.158,0.088,0.5655159987163588,0.86315788643448,False
il6_pg_ml,vegf_pg_ml,246,-0.034,-0.16,0.092,0.5922856392102901,0.86315788643448,False
ifn_gamma_pg_ml,vegf_pg_ml,247,-0.032,-0.152,0.098,0.6165413474532,0.86315788643448,False
il6_pg_ml,ctdna_fraction_percent,246,0.028,-0.09,0.153,0.6604123889035078,0.8667912604358541,False
tnf_alpha_pg_ml,vegf_pg_ml,247,0.014,-0.109,0.142,0.8238301981057679,0.9904882191320074,False
vegf_pg_ml,ctdna_fraction_percent,247,-0.01,-0.142,0.112,0.8771078358848066,0.9904882191320074,False
ifn_gamma_pg_ml,ctdna_fraction_percent,247,-0.004,-0.142,0.128,0.9472566371433461,0.9904882191320074,False
il6_pg_ml,pdl1_tps_percent,246,-0.001,-0.116,0.124,0.9865994893409112,0.9904882191320074,False
crp_mg_l,ifn_gamma_pg_ml,246,0.001,-0.128,0.129,0.9904882191320074,0.9904882191320074,False
