biomarker_1,biomarker_2,sample_size,spearman_r,ci_lower,ci_upper,raw_p_value,fdr_p_value,fdr_significant
IL-6,CRP,245,0.78,0.722,0.828,<0.001,<0.001,True
CRP,TNF-α,246,-0.167,-0.287,-0.048,0.009,0.093,False
IL-6,TNF-α,246,-0.135,-0.261,-0.017,0.034,0.237,False
PD-L1,ctDNA,247,-0.106,-0.222,0.015,0.097,0.510,False
TNF-α,IFN-γ,247,-0.083,-0.207,0.043,0.195,0.819,False
VEGF,PD-L1,247,0.063,-0.063,0.186,0.321,0.863,False
TNF-α,ctDNA,247,-0.051,-0.185,0.073,0.423,0.863,False
CRP,VEGF,246,-0.05,-0.175,0.085,0.435,0.863,False
IL-6,IFN-γ,246,0.049,-0.072,0.177,0.444,0.863,False
IFN-γ,PD-L1,247,-0.048,-0.175,0.076,0.453,0.863,False
CRP,ctDNA,246,0.047,-0.083,0.179,0.463,0.863,False
TNF-α,PD-L1,247,0.043,-0.085,0.171,0.506,0.863,False
CRP,PD-L1,246,-0.037,-0.158,0.088,0.566,0.863,False
IL-6,VEGF,246,-0.034,-0.16,0.092,0.592,0.863,False
IFN-γ,VEGF,247,-0.032,-0.152,0.098,0.617,0.863,False
IL-6,ctDNA,246,0.028,-0.09,0.153,0.660,0.867,False
TNF-α,VEGF,247,0.014,-0.109,0.142,0.824,0.990,False
VEGF,ctDNA,247,-0.01,-0.142,0.112,0.877,0.990,False
IFN-γ,ctDNA,247,-0.004,-0.142,0.128,0.947,0.990,False
IL-6,PD-L1,246,-0.001,-0.116,0.124,0.987,0.990,False
CRP,IFN-γ,246,0.001,-0.128,0.129,0.990,0.990,False
